Longitude,Latitude
26.297085,60.467923
21.1908148,63.2572362
24.181466,65.843781
23.523316,60.812572
24.183674185,61.267331317
22.965634066,61.803689063
22.25687,63.11737
22.08904675,60.49415538
21.54281,62.94484
24.888698,60.620304
22.06866,63.05976
23.283799332,61.359037977
27.381817371,67.076576651
21.537905,61.132156
23.276664301,61.451202814
25.95017,62.42697
27.71873238,66.56728389
21.737738,61.183784
24.291385045,61.483172475
24.210867224,61.358021625
23.254006519,61.485618924
26.01022,62.48179
27.504887303,66.96308828
25.779526,66.509096
25.080671,60.210742
25.96673,62.32041
27.040744,65.75004
27.2670696,61.1653496
25.284297,62.697799
21.24249,62.76157
23.6375553,61.3208791
25.8058027,66.62527097
26.5902,65.722628
25.593473,66.462113
25.718745839,62.232378297
27.68707,61.685974
25.9478,62.40435
25.597056,61.155423
25.6112468,62.0878579
25.374656,66.612035
21.841162,61.100983
25.670919691,61.992942524
23.361276483,62.11104011
24.320883,62.8451949
24.67599,62.022867
25.915434,67.297255
25.81581351,62.228649558
25.537618455,62.025218976
28.036273088,66.559303475
23.88123833,62.70167257
23.764639874,61.861780797
25.35387018,66.63620288
27.244758,61.514927
28.26739352,61.05477704
23.685418,63.001554
26.184537,67.634542
24.93681158,67.19054702
22.294779,61.059698
23.75945399,62.751365
21.57385,62.94202
27.567229,61.329628
23.297209,62.644074
21.478143,60.801017
23.399823919,61.977922343
21.582599,61.152968
21.550485,61.037852
25.392773,62.608582
25.349439,62.696573
27.4727,61.478759
26.3699,62.381
23.9045008,61.8563629
22.81820301,62.47848064
21.509458,61.133003
21.503275,61.070513
27.107688,61.475593
27.506909,61.733877
25.26829,66.986703
26.533399,65.923635
24.59363608,61.620456148
22.207028,61.183458
24.801150791,61.305254663
26.207746,65.998619
29.45402047,67.761625718
27.777206,61.21444
24.445254,64.297222
27.207706,62.019144
27.46134,68.346518
23.4362,63.3324
23.43061,61.04527
27.280292,61.666501
21.32016493,60.15153621
23.956708,62.835917
26.76232,60.76614
26.92674797,60.47142665
25.715375902,62.207720045
23.307576809,68.512958791
24.774714,66.072623
24.478389,61.395247
28.775775157,66.7538443
24.39584529,61.398725947
25.85154,60.67079
24.19864205,61.420793193
21.6868556,61.0273362
27.254044,61.643434
25.364918,66.647263
23.038076,60.849595
24.602095912,61.376895472
24.215929296,61.416981577
23.93291728,62.6744821
23.367065813,61.272286155
24.300704141,61.417217457
27.605816,61.329341
24.075454,63.092831
23.271985494,61.336536873
23.938061,62.976368
25.6518095,66.50191545
23.917222807,61.518164607
26.039026,67.338637
22.783702,62.496103
23.255992164,61.418786841
23.358366251,61.469683053
22.601216,60.217554
21.34571965,60.20974861
22.153416,60.969109
21.367249,59.783965
24.127148157,62.063699788
24.509017,62.14447
25.16683,61.592998
28.712796039,67.658886353
27.850892,61.590585
22.2448,60.40234
25.64648,62.38811
24.091125967,61.94383356
24.565386382,61.703539688
23.516260467,61.964262934
24.038137484,61.820147865
25.639498,67.776513
23.95243,60.86803
21.577406,60.298169
25.808790561,62.222620715
23.923491,62.124278
24.301661727,61.674686428
23.676223494,61.880781461
22.2094514,60.4663725
24.797947,67.804822
23.84448,60.87837
23.552228929,61.704720296
23.816321432,62.333254012
27.54975,61.430633
26.567846838,67.402040986
22.3894,60.35572
24.192581,65.846661
22.01213,60.45409
23.984361,66.782094
23.072013,60.848745
22.678506,61.033947
28.363013,61.650228
25.232399,62.706469
27.734299,62.979097
23.631383,62.641886
23.0407,60.86819
25.799568,62.289782
23.470516,62.592674
23.146391,62.134146
29.8622914,62.7241032
27.189537,69.095919
25.91509,62.41991
22.60443,60.89031
25.775266426,62.20669857
23.63239,60.80153
25.720134253,62.223199313
23.1864,63.5224
23.64859,60.81676
23.802135651,67.93642947
24.034962,62.985965
21.19769327,60.32602472
24.005051062,60.042102045
27.307623,61.340481
23.856972,63.027674
25.046843,63.690926
21.59987393,60.11151143
23.48794,60.79284
25.7963704,66.5974731
27.777597,61.540448
22.2841506,62.5668654
23.48587263,62.50629516
28.048139,61.405737
27.133677,65.980742
24.480586,62.680698
23.802387058,61.489774642
25.97203,62.49893
24.11499,63.185889
27.394748,61.284803
23.66322,63.558414
29.863211,62.723604
23.76596,63.24725
24.5345079,63.1372868
27.014676,61.521076
23.092897,61.010078
22.2544092,61.108318
26.629986,67.365172
27.720359,67.821637
28.778201679,66.900730329
23.920306,67.91018
21.15717723,60.34115947
